Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Campaign Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),14 Day Total Orders (#),"14 Day Total Sales ","Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),14 Day Conversion Rate
"Jul 2, 2022",instant pot accessories,1,42.38%,instant pot accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,34,2106,1.6144%,$37.04,$1.0894,1,$12.95,286.0232%,0.35,2.9412%
"Jul 2, 2022",cake pan,1,40.68%,cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,10,1949,0.5131%,$5.72,$0.5720000000000001,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",affresh washing machine cleaner,1,37.67%,affresh washing machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Comp - KW Exact - Comp Terms (2),USD,1,1471,0.0680%,$0.8,$0.8,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",cake pans,1,70.17%,cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,5,1035,0.4831%,$2.95,$0.59,1,$20.95,14.0811%,7.10,20.0000%
"Jul 2, 2022",ninja foodi accessories,1,100.00%,ninja foodi accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,4,588,0.6803%,$2.48,$0.62,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",6 springform pan,1,100.00%,6 springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - Specific V2,USD,1,422,0.2370%,$0.72,$0.72,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instapot accessory,1,51.50%,instapot and accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,7,310,2.2581%,$4.99,$0.7129000000000001,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",affresh,1,66.51%,affresh,BROAD,Washing Machine Cleaner - SB - KW - Comp - KW Broad - Comp Terms (2),USD,2,282,0.7092%,$1.58,$0.79,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine cleaner,3,3.03%,washing machine cleaners,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,2,198,1.0101%,$5.86,$2.93,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",springform pan,1,100.00%,springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,2,174,1.1494%,$1.5,$0.75,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instant pot accessories 6 qt only,1,52.88%,instant pot accessories 6 qt only,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,2,165,1.2121%,$1.08,$0.54,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",afresh tablets,3,21.56%,afresh tablets,EXACT,Washing Machine Cleaner - SB - KW - Comp - KW Exact - Comp Terms (2),USD,1,158,0.6329%,$1.29,$1.29,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",active washing machine cleaner,2,20.39%,active washing machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,3,136,2.2059%,$4.87,$1.6233000000000002,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",round cake pans,1,97.46%,round cake pans,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,2,115,1.7391%,$0.84,$0.42,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",springform pans,1,40.34%,springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,94,1.0638%,$0.48,$0.48,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",splash spotless for washer,1,100.00%,wash machine cleaner tablets for high efficiency,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - HE (2),USD,3,73,4.1096%,$3.0,$1.0,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",splash spotless washing machine cleaner,2,23.45%,washing machine cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,2,72,2.7778%,$3.14,$1.57,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine cleaner top load,2,27.42%,washing machine cleaner top load,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Top Load,USD,3,51,5.8824%,$4.5,$1.5,3,$45.85,9.8146%,10.19,100.0000%
"Jul 2, 2022",washing machine cleaner front loader,2,19.92%,washing machine cleaner front loader,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Front Load,USD,2,47,4.2553%,$3.5,$1.75,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",afresh,2,38.04%,afresh,BROAD,Washing Machine Cleaner - SB - KW - Comp - KW Broad - Comp Terms (2),USD,2,35,5.7143%,$1.3,$0.65,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",afresh,2,38.04%,aafresh,BROAD,Washing Machine Cleaner - SB - KW - Comp - KW Broad - Comp Terms (2),USD,0,0,,$0.0,,0,$0.0,,,
"Jul 2, 2022",instapot accessories,1,100.00%,instapot and accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,2,34,5.8824%,$2.02,$1.01,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",6 qt instant pot accessories,1,100.00%,6 qt instant pot accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,32,3.1250%,$0.34,$0.34,1,$25.95,1.3102%,76.32,100.0000%
"Jul 2, 2022",instant pot 3 qt accessories,1,100.00%,instant pot 3 qt accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,2,32,6.2500%,$0.38,$0.19,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",pressure cooker accessories,1,100.00%,pressure cooker accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,3,32,9.3750%,$0.92,$0.30670000000000003,1,$17.99,5.1140%,19.55,33.3333%
"Jul 2, 2022",springform,1,100.00%,springform,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,2,29,6.8966%,$2.0,$1.0,2,$29.9,6.6890%,14.95,100.0000%
"Jul 2, 2022",spring foam cake pans,1,100.00%,spring foam cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,3,28,10.7143%,$1.95,$0.65,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",round cake pan,1,100.00%,round cake pans,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,27,3.7037%,$0.4,$0.4,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",lg tub cleaner washing machine,1,100.00%,lg tub cleaner washing machine,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,26,3.8462%,$1.68,$1.68,0,$0.0,,0.00,0.0000%
