Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),"7 Day Total Sales ","Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"May 9, 2022","Jun 7, 2022",b00c91q86i,1,45.15%,*,-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Auto - TOS,Dishwasher Cleaner - SP - Auto - TOS,USD,1,5,20.0000%,$0.2,$0.2,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b00c91q86i,1,45.15%,"asin=\""B00C91Q86I\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,843,670610,0.1300%,$1106.27,$1.3122999999999998,290,$4392.33,25.1900%,3.97,34.4000%
"May 9, 2022","Jun 7, 2022",b08dvfzttg,1,32.94%,*,-,Active Detergent,Active Detergent - SP - Auto - PP - New,Active Detergent - SP - Auto - PP,USD,7,7807,0.0900%,$9.1,$1.3,3,$43.87,20.7400%,4.82,42.8600%
"May 9, 2022","Jun 7, 2022",b08dvfzttg,1,32.94%,*,-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Auto - TOS,Washing Machine Cleaner - SP - Auto - TOS,USD,33,39,84.6200%,$29.89,$0.9057999999999999,44,$1411.28,2.1200%,47.22,133.3300%
"May 9, 2022","Jun 7, 2022",b08dvfzttg,1,32.94%,*,-,Active Detergent,Active Detergent - SP - Auto - TOS - New,Active Detergent - SP - Auto - TOS - New,USD,8,14176,0.0600%,$1.51,$0.1888,2,$29.9,5.0500%,19.80,25.0000%
"May 9, 2022","Jun 7, 2022",b08dvfzttg,1,32.94%,"asin=\""B08DVFZTTG\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Defense - ASIN Def,Dishwasher Cleaner - SP - Prod - Defense - ASIN Def,USD,1003,502917,0.2000%,$1803.89,$1.7985,464,$7182.03,25.1200%,3.98,46.2600%
"May 9, 2022","Jun 7, 2022",b00jwqt37o,1,77.11%,"asin=\""B00JWQT37O\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,198,266084,0.0700%,$257.89,$1.3025,54,$829.23,31.1000%,3.22,27.2700%
"May 9, 2022","Jun 7, 2022",b00uasjmg0,1,38.61%,*,-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Auto - TOS,Dishwasher Cleaner - SP - Auto - TOS,USD,1,3,33.3300%,$0.2,$0.2,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b00uasjmg0,1,38.61%,"asin=\""B00UASJMG0\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,468,227775,0.2100%,$653.7,$1.3968,107,$1574.93,41.5100%,2.41,22.8600%
"May 9, 2022","Jun 7, 2022",b07c9ctrf1,1,35.21%,"asin=\""B07C9CTRF1\""",-,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - Prod - Comp,Silicone Egg Bite Molds  - SP - Prod - Comp - ASIN Comp - No Sling 1 Pack,USD,294,212653,0.1400%,$266.78,$0.9074,7,$211.55,126.1100%,0.79,2.3800%
