Product Name,Ad Type,Campaign Id,Ad Group Id,Campaign Name,Ad Group Name,Default Bid,Ad Group Type,ASIN,SKU,Total Cost,Pick Pack Fee,AMZ Price,Referral Fee,BE ROAS,BE ACOS,Organic Target,Sponsored Target,DP CVR,Percentage
Active Detergent,Sponsored Brands,23896926942109,,Active Detergent - SBV - KW - Main Video - KW Broad,,,KW Broad,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,1.0
Active Detergent,Sponsored Brands,196297977829354,,Active Detergent - SBV - KW - Main Video - KW Exact,,,KW Exact,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,1.0
Active Detergent,Sponsored Products,17054106977037,246595450513553,Active Detergent - SP - Auto - PP,Active Detergent - SP - Auto - PP,0.2,AUTO,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,6.0
Active Detergent,Sponsored Products,269930082106023,61766335738468,Active Detergent - SP - Auto - PP - New,Active Detergent - SP - Auto - PP,0.2,AUTO,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,6.0
Active Detergent,Sponsored Products,266498360193836,228433905960976,Active Detergent - SP - Auto - TOS,Active Detergent - SP - Auto - TOS,0.28,AUTO,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,7.5
Active Detergent,Sponsored Products,93173664527159,163815647763955,Active Detergent - SP - Auto - TOS - New,Active Detergent - SP - Auto - TOS,0.28,AUTO,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,7.5
Active Detergent,Sponsored Products,93173664527159,3128959821490,Active Detergent - SP - Auto - TOS - New,Active Detergent - SP - Auto - TOS - New,0.25,AUTO,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,7.5
Active Detergent,Sponsored Products,105683541381144,176396362113601,Active Detergent - SP - KW - Comp,Active Detergent - SP - KW - Comp - KW Exact,0.75,KW Exact,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,2.0
Active Detergent,Sponsored Products,105683541381144,184434360309420,Active Detergent - SP - KW - Comp,Active Detergent - SP - KP - Comp - KW Broad,0.75,KW Broad,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,2.0
Active Detergent,Sponsored Products,242448086536808,275234417579654,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Broad - Set 1,1.25,KW Broad,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,2.0
Active Detergent,Sponsored Products,242448086536808,153928054446306,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 1,1.5,KW Exact,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,2.0
Active Detergent,Sponsored Products,242448086536808,185748548448564,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 2,0.75,KW Exact,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,2.0
Active Detergent,Sponsored Products,242448086536808,41814448427323,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Broad - Set 2,0.75,KW Broad,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,2.0
Active Detergent,Sponsored Products,64847280952885,178347445896263,Active Detergent - SP - Prod - Category - CAT - Detergents,Active Detergent - SP - Prod - Category - CAT - Detergents,0.33,CAT,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,6.0
Active Detergent,Sponsored Products,200364874191729,184449741884370,Active Detergent - SP - Prod - Comp,Active Detergent - CAT - Active Clothing,0.5,CAT,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,4.4
Active Detergent,Sponsored Products,200364874191729,223565543843054,Active Detergent - SP - Prod - Comp,Active Detergent - SP - Prod - Comp - ASIN Comp - Direct,1.5,ASIN Comp,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,4.4
Active Detergent,Sponsored Products,200364874191729,35173560923636,Active Detergent - SP - Prod - Comp,Active Detergent - SP - Prod - Comp - ASIN Comp - Sweat/Odor Spray,0.75,ASIN Anc,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,4.4
Active Detergent,Sponsored Products,200364874191729,110737896753956,Active Detergent - SP - Prod - Comp,Active Detergent - SP - Prod - Comp - ASIN Comp - Sport Additives,0.75,ASIN Anc,B07L8NJY8W,activ-90-1,2.87,6.75,24.95,3.74,2.15,0.46,1.0,2.0,0.2837,4.4
Arch Plant Stand,Sponsored Products,134403455455278,99574783800259,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,0.3,KW Exact,B08DQ4VWZK,sm-arch-pls-1,8.11,6.08,24.95,3.74,3.55,0.28,1.0,2.0,,5.0
Arch Plant Stand,Sponsored Products,134403455455278,129497992711693,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Broad,0.2,KW Broad,B08DQ4VWZK,sm-arch-pls-1,8.11,6.08,24.95,3.74,3.55,0.28,1.0,2.0,,5.0
Dontcare,Sponsored Products,222819081133644,64514641057063,Brush Dishcloth Pack - Auto,Brush Dishcloth Pack - Auto,0.35,Dontcare,,,,,,,,,,,,2.5
Dontcare,Sponsored Products,109962155231857,217393229870332,Brush Dishcloth Pack - Manual,Brush Dishcloth Pack - Broad,1.5,Dontcare,,,,,,,,,,,,1.25
