Date,Product,Entity,Campaign Id,Ad Group Id,Keyword Id (Read only),Product Targeting Id (Read only),Keyword Text,Product Targeting Expression,Campaign,Ad Group,Product Name,AG Type,Match Type,Bid,Flag,Flag Type,Flag Text,Reco. Bid,Skip?,Override Bid,Will Set Bid to:,Notes
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,184805681053334,,enzyme detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0400,Up,Profitable - Already Bidding High,1.68,0,,1.68,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,252415618504372,,odor detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.68,0402,Up,Profitable - Competitive Bid,1.93,0,,1.93,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,106969592849699,,sweat detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0400,Up,Profitable - Already Bidding High,1.9,0,,1.9,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,108422569065321,,sweat laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0400,Up,Profitable - Already Bidding High,1.9,False,,1.9,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,151482810692426,,detergent stink,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0400,Up,Profitable - Already Bidding High,1.68,False,,1.68,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,147514223332463,,active detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0400,Up,Profitable - Already Bidding High,1.9,False,,1.9,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,124156463474378,,activewear laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0400,Up,Profitable - Already Bidding High,1.9,False,,1.9,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,111825550531121,,odor clothes remover,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.31,0402,Up,Profitable - Competitive Bid,1.51,False,,1.51,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,55242261910306,,clothes deodorizer,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0400,Up,Profitable - Already Bidding High,1.68,False,,1.68,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,97231280869162,,wash detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,0.25,0402,Up,Profitable - Competitive Bid,0.29,False,,0.29,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,100528716514163,,detergent powder,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,0.25,0402,Up,Profitable - Competitive Bid,0.29,False,,0.29,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,220429805225040,,wash for athletic clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.5,0400,Up,Profitable - Already Bidding High,1.65,False,,1.65,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,71643781674833,,laundry detergent for athlete,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.5,0400,Up,Profitable - Already Bidding High,1.65,False,,1.65,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,192732162528348,,antibacterial laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.5,0400,Up,Profitable - Already Bidding High,1.65,False,,1.65,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,269173966692535,,activewear laundry detergent for workout & sports clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,2.0,0400,Up,Profitable - Already Bidding High,2.2,False,,2.2,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,151742953292087,,gym clothing detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0400,Up,Profitable - Already Bidding High,1.9,False,,1.9,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,49603545658851,,active wear laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,0,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,6369314286251,,sports detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,0,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,183576668097152,,active wear detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,0,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,97480582136564,,laundry detergent for activewear,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,48868753970880,,workout clothes detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,179082696589932,,detergent for athletic,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,10595813068735,,wash clothing,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,0.83,0101,Stale,Low Data - Raise Bid or Kill,0.87,False,,0.87,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,186860446500473,,detergent for activewear,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,152084151199083,,laundry detergent for sweat,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,40083197855892,,detergent for workout,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,95355533363176,,running detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,75356559758203,,smelly detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,119653490636564,,laundry workout,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,269572221925728,,detergent for sports clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,235392159366629,,laundry detergent for athletic,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,89389263622010,,detergent for sportswear,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,62549647894264,,laundry detergent for workout clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,80714682241392,,gym detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,63901508103786,,gear detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.11,0101,Stale,Low Data - Raise Bid or Kill,1.17,False,,1.17,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,99344495517489,,active wash laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,31144455671495,,wash workout clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
